l,t,freq,S21
1,0.3,4.5,-0.11046941
1,0.3,4.6,-0.114671785
1,0.3,4.7,-0.118944817
1,0.3,4.8,-0.123288275
1,0.3,4.9,-0.127701898
1,0.3,5,-0.132185403
1,0.3,5.1,-0.136738484
1,0.3,5.2,-0.14136081
1,0.3,5.3,-0.146052034
1,0.3,5.4,-0.150811789
1,0.3,5.5,-0.155639691
1,0.3,5.6,-0.160535345
1,0.3,5.7,-0.165498338
1,0.3,5.8,-0.170528249
1,0.3,5.9,-0.175624646
1,0.3,6,-0.180787088
1,0.3,6.1,-0.186015128
1,0.3,6.2,-0.191308313
1,0.3,6.3,-0.196666183
1,0.3,6.4,-0.202088277
1,0.3,6.5,-0.207574132
1,0.3,6.6,-0.213123282
1,0.3,6.7,-0.218735261
1,0.3,6.8,-0.224409604
1,0.3,6.9,-0.230145845
1,0.3,7,-0.235943523
1,0.3,7.1,-0.241802176
1,0.3,7.2,-0.247721347
1,0.3,7.3,-0.25370058
1,0.3,7.4,-0.259739424
1,0.3,7.5,-0.265837431
1,0.3,7.6,-0.271994157
1,0.3,7.7,-0.278209159
1,0.3,7.8,-0.284482001
1,0.3,7.9,-0.290812248
1,0.3,8,-0.297199468
1,0.3,8.1,-0.303643232
1,0.3,8.2,-0.310143113
1,0.3,8.3,-0.316698685
1,0.3,8.4,-0.323309523
1,0.3,8.5,-0.329975203
1,0.3,8.6,-0.336695298
1,0.3,8.7,-0.343469382
1,0.3,8.8,-0.350297025
1,0.3,8.9,-0.357177795
1,0.3,9,-0.364111253
1,0.3,9.1,-0.371096958
1,0.3,9.2,-0.37813446
1,0.3,9.3,-0.385223301
1,0.3,9.4,-0.392363018
1,0.3,9.5,-0.399553135
1,0.3,9.6,-0.406793165
1,0.3,9.7,-0.414082612
1,0.3,9.8,-0.421420965
1,0.3,9.9,-0.428807699
1,0.3,10,-0.436242275
1,0.3,10.1,-0.44372414
1,0.3,10.2,-0.451252723
1,0.3,10.3,-0.458827436
1,0.3,10.4,-0.466447674
1,0.3,10.5,-0.474112815
1,0.3,10.6,-0.481822218
1,0.3,10.7,-0.489575223
1,0.3,10.8,-0.497371154
1,0.3,10.9,-0.505209314
1,0.3,11,-0.513088991
1,0.3,11.1,-0.521009454
1,0.3,11.2,-0.528969955
1,0.3,11.3,-0.536969733
1,0.3,11.4,-0.54500801
1,0.3,11.5,-0.553083994
1,0.3,11.6,-0.561196884
1,0.3,11.7,-0.569345867
1,0.3,11.8,-0.577530123
1,0.3,11.9,-0.585748825
1,0.3,12,-0.594001142
1,0.3,12.1,-0.602286245
1,0.3,12.2,-0.610603303
1,0.3,12.3,-0.618951491
1,0.3,12.4,-0.627329993
1,0.3,12.5,-0.635738004
1,0.3,12.6,-0.644174733
1,0.3,12.7,-0.652639406
1,0.3,12.8,-0.661131275
1,0.3,12.9,-0.669649616
1,0.3,13,-0.678193734
1,0.3,13.1,-0.686762971
1,0.3,13.2,-0.695356707
1,0.3,13.3,-0.703974363
1,0.3,13.4,-0.71261541
1,0.3,13.5,-0.721279368
1,0.3,13.6,-0.729965815
