"l [mm]","t [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
1,0.3,2.4,-0.0386284115438578
1,0.3,2.5,-0.0413447692416335
1,0.3,2.6,-0.0441310458255998
1,0.3,2.7,-0.0469871369023128
1,0.3,2.8,-0.0499130462058607
1,0.3,2.9,-0.0529088566114197
1,0.3,3,-0.0559747057227579
1,0.3,3.1,-0.0591107655643933
1,0.3,3.2,-0.062317225897968
1,0.3,3.3,-0.0655942806954874
1,0.3,3.4,-0.0689421173308038
1,0.3,3.5,-0.0723609080882354
1,0.3,3.6,-0.0758508036286351
1,0.3,3.7,-0.0794119280957218
1,0.3,3.8,-0.0830443755862188
1,0.3,3.9,-0.0867482077456753
1,0.3,4,-0.090523452286623
1,0.3,4.1,-0.0943701022566387
1,0.3,4.2,-0.0982881159114071
1,0.3,4.3,-0.102277417071221
1,0.3,4.4,-0.106337895860133
1,0.3,4.5,-0.110469409743845
1,0.3,4.6,-0.114671784797469
1,0.3,4.7,-0.118944817146288
1,0.3,4.8,-0.123288274533055
1,0.3,4.9,-0.127701897973867
1,0.3,5,-0.132185403471523
1,0.3,5.1,-0.136738483761186
1,0.3,5.2,-0.141360810067768
1,0.3,5.3,-0.14605203385836
1,0.3,5.4,-0.150811788575929
1,0.3,5.5,-0.155639691343107
1,0.3,5.6,-0.160535344626955
1,0.3,5.7,-0.165498337856873
1,0.3,5.8,-0.17052824898929
1,0.3,5.9,-0.175624646013672
1,0.3,6,-0.180787088395163
1,0.3,6.1,-0.186015128449683
1,0.3,6.2,-0.191308312647851
1,0.3,6.3,-0.196666182844459
1,0.3,6.4,-0.202088277430616
1,0.3,6.5,-0.207574132405442
1,0.3,6.6,-0.213123282365453
1,0.3,6.7,-0.218735261408615
1,0.3,6.8,-0.224409603951261
1,0.3,6.9,-0.230145845456164
1,0.3,7,-0.235943523069473
1,0.3,7.1,-0.241802176165539
1,0.3,7.2,-0.247721346798028
1,0.3,7.3,-0.253700580056615
1,0.3,7.4,-0.259739424328307
1,0.3,7.5,-0.265837431463262
1,0.3,7.6,-0.2719941568451
1,0.3,7.7,-0.278209159366028
1,0.3,7.8,-0.284482001307674
1,0.3,7.9,-0.290812248129039
1,0.3,8,-0.297199468163146
1,0.3,8.1,-0.303643232224886
1,0.3,8.2,-0.310143113132821
1,0.3,8.3,-0.316698685148195
1,0.3,8.4,-0.323309523335405
1,0.3,8.5,-0.329975202848183
1,0.3,8.6,-0.336695298146777
1,0.3,8.7,-0.343469382151825
1,0.3,8.8,-0.350297025341322
1,0.3,8.9,-0.357177794797465
1,0.3,9,-0.364111253211024
1,0.3,9.1,-0.37109695785132
1,0.3,9.2,-0.378134459510336
1,0.3,9.3,-0.385223301430286
1,0.3,9.4,-0.392363018224204
1,0.3,9.5,-0.399553134799709
1,0.3,9.6,-0.406793165296514
1,0.3,9.7,-0.4140826120486
1,0.3,9.8,-0.421420964582293
1,0.3,9.9,-0.428807698661721
1,0.3,10,-0.436242275393473
1,0.3,10.1,-0.443724140402191
1,0.3,10.2,-0.451252723089117
1,0.3,10.3,-0.458827435985411
1,0.3,10.4,-0.466447674212116
1,0.3,10.5,-0.474112815058493
1,0.3,10.6,-0.481822217689825
1,0.3,10.7,-0.489575222996301
1,0.3,10.8,-0.497371153592811
1,0.3,10.9,-0.505209313980573
1,0.3,11,-0.51308899087944
1,0.3,11.1,-0.521009453739926
1,0.3,11.2,-0.528969955442945
1,0.3,11.3,-0.536969733194115
1,0.3,11.4,-0.545008009619065
1,0.3,11.5,-0.553083994064403
1,0.3,11.6,-0.561196884108495
1,0.3,11.7,-0.569345867284675
1,0.3,11.8,-0.577530123017994
1,0.3,11.9,-0.58574882477596
1,0.3,12,-0.59400114243122
1,0.3,12.1,-0.602286244833988
1,0.3,12.2,-0.610603302588934
1,0.3,12.3,-0.6189514910311
1,0.3,12.4,-0.627329993392959
1,0.3,12.5,-0.635738004153234
1,0.3,12.6,-0.644174732556654
1,0.3,12.7,-0.652639406292106
1,0.3,12.8,-0.661131275314652
1,0.3,12.9,-0.669649615795826
1,0.3,13,-0.678193734184783
1,0.3,13.1,-0.686762971360835
1,0.3,13.2,-0.695356706857461
1,0.3,13.3,-0.70397436313521
1,0.3,13.4,-0.71261540988075
1,0.3,13.5,-0.721279368306892
1,0.3,13.6,-0.729965815428308
1,0.3,13.7,-0.738674388285797
1,0.3,13.8,-0.747404788091485
1,0.3,13.9,-0.756156784266353
1,0.3,14,-0.764930218341028
1,0.3,14.1,-0.773725007690058
1,0.3,14.2,-0.782541149069817
1,0.3,14.3,-0.791378721930025
1,0.3,14.4,-0.800237891468739
1,0.3,14.5,-0.809118911401477
1,0.3,14.6,-0.818022126415083
1,0.3,14.7,-0.826947974278008
1,0.3,14.8,-0.835896987579625
1,0.3,14.9,-0.844869795072501
1,0.3,15,-0.853867122592625
1,0.3,15.1,-0.862889793535121
1,0.3,15.2,-0.871938728863702
1,0.3,15.3,-0.881014946636321
1,0.3,15.4,-0.890119561029566
1,0.3,15.5,-0.899253780849316
1,0.3,15.6,-0.908418907517221
1,0.3,15.7,-0.917616332525769
1,0.3,15.8,-0.926847534358744
1,0.3,15.9,-0.93611407487783
1,0.3,16,-0.945417595179894
1,0.4,2,-0.0293385357176797
1,0.4,2.1,-0.0316807368354222
1,0.4,2.2,-0.0340925812934979
1,0.4,2.3,-0.036574898266873
1,0.4,2.4,-0.0391284959472677
1,0.4,2.5,-0.0417541299196233
1,0.4,2.6,-0.0444524826242342
1,0.4,2.7,-0.0472241511235495
1,0.4,2.8,-0.0500696409719434
1,0.4,2.9,-0.0529893644767957
1,0.4,3,-0.0559836420409738
1,0.4,3.1,-0.0590527055980517
1,0.4,3.2,-0.0621967034041133
1,0.4,3.3,-0.0654157056449978
1,0.4,3.4,-0.0687097104674996
1,0.4,3.5,-0.0720786501556056
1,0.4,3.6,-0.0755223972576246
1,0.4,3.7,-0.0790407705327853
1,0.4,3.8,-0.0826335406318647
1,0.4,3.9,-0.0863004354601011
1,0.4,4,-0.090041145194606
1,0.4,4.1,-0.0938553269455861
1,0.4,4.2,-0.0977426090624978
1,0.4,4.3,-0.101702595094312
1,0.4,4.4,-0.105734867418281
1,0.4,4.5,-0.109838990554706
1,0.4,4.6,-0.114014514187076
1,0.4,4.7,-0.118260975907552
1,0.4,4.8,-0.122577903707974
1,0.4,4.9,-0.126964818235707
1,0.4,5,-0.131421234833289
1,0.4,5.1,-0.135946665379464
1,0.4,5.2,-0.140540619948121
1,0.4,5.3,-0.145202608300607
1,0.4,5.4,-0.149932141225335
1,0.4,5.5,-0.154728731737629
1,0.4,5.6,-0.159591896151175
1,0.4,5.7,-0.164521155031804
1,0.4,5.8,-0.169516034042361
1,0.4,5.9,-0.174576064687147
1,0.4,6,-0.179700784962535
1,0.4,6.1,-0.184889739920108
1,0.4,6.2,-0.190142482146821
1,0.4,6.3,-0.195458572166691
1,0.4,6.4,-0.200837578766832
1,0.4,6.5,-0.206279079250324
1,0.4,6.6,-0.211782659617546
1,0.4,6.7,-0.217347914676727
1,0.4,6.8,-0.222974448084005
1,0.4,6.9,-0.22866187231292
1,0.4,7,-0.234409808552102
1,0.4,7.1,-0.240217886530375
1,0.4,7.2,-0.246085744267543
1,0.4,7.3,-0.252013027748956
1,0.4,7.4,-0.257999390522077
1,0.4,7.5,-0.26404449321283
1,0.4,7.6,-0.270148002959754
1,0.4,7.7,-0.276309592763964
1,0.4,7.8,-0.282528940753017
1,0.4,7.9,-0.28880572935737
1,0.4,8,-0.295139644398083
1,0.4,8.1,-0.301530374085062
1,0.4,8.2,-0.307977607925868
1,0.4,8.3,-0.314481035545223
1,0.4,8.4,-0.321040345416657
1,0.4,8.5,-0.327655223508031
1,0.4,8.6,-0.334325351843901
1,0.4,8.7,-0.341050406988111
1,0.4,8.8,-0.347830058451655
1,0.4,8.9,-0.354663967031273
1,0.4,9,-0.361551783085558
1,0.4,9.1,-0.368493144756494
1,0.4,9.2,-0.37548767614528
1,0.4,9.3,-0.382534985452638
1,0.4,9.4,-0.389634663094757
1,0.4,9.5,-0.396786279807137
1,0.4,9.6,-0.403989384749856
1,0.4,9.7,-0.411243503628556
1,0.4,9.8,-0.418548136846687
1,0.4,9.9,-0.425902757705315
1,0.4,10,-0.433306810667714
1,0.4,10.1,-0.44075970970662
1,0.4,10.2,-0.448260836752916
1,0.4,10.3,-0.455809540264672
1,0.4,10.4,-0.463405133936259
1,0.4,10.5,-0.471046895567134
1,0.4,10.6,-0.478734066110367
1,0.4,10.7,-0.486465848920501
1,0.4,10.8,-0.494241409220456
1,0.4,10.9,-0.502059873806431
1,0.4,11,-0.509920331009344
1,0.4,11.1,-0.517821830930167
1,0.4,11.2,-0.525763385965685
1,0.4,11.3,-0.533743971639498
1,0.4,11.4,-0.541762527751932
1,0.4,11.5,-0.549817959859661
1,0.4,11.6,-0.557909141094649
1,0.4,11.7,-0.566034914328331
1,0.4,11.8,-0.574194094684862
1,0.4,11.9,-0.582385472402781
1,0.4,12,-0.590607816041818
1,0.4,12.1,-0.59885987602573
1,0.4,12.2,-0.607140388508843
1,0.4,12.3,-0.615448079547258
1,0.4,12.4,-0.623781669550963
1,0.4,12.5,-0.632139877986956
1,0.4,12.6,-0.64052142829744
1,0.4,12.7,-0.648925052991668
1,0.4,12.8,-0.657349498865302
1,0.4,12.9,-0.665793532298122
1,0.4,13,-0.674255944580003
1,0.4,13.1,-0.682735557218645
1,0.4,13.2,-0.691231227189949
1,0.4,13.3,-0.699741852106871
1,0.4,13.4,-0.708266375303239
1,0.4,13.5,-0.716803790857723
1,0.4,13.6,-0.725353148617777
1,0.4,13.7,-0.733913559320783
1,0.4,13.8,-0.742484199945043
1,0.4,13.9,-0.751064319448997
1,0.4,14,-0.759653245063928
1,0.4,14.1,-0.768250389284041
1,0.4,14.2,-0.776855257642305
1,0.4,14.3,-0.785467457268148
1,0.4,14.4,-0.794086706101862
1,0.4,14.5,-0.802712842504532
1,0.4,14.6,-0.811345834875488
1,0.4,14.7,-0.819985790796056
1,0.4,14.8,-0.828632965181346
1,0.4,14.9,-0.837287766952921
1,0.4,15,-0.845950763841197
1,0.4,15.1,-0.854622685071019
