"l [mm]","t [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
5,0.2,2,-0.899931502941316
5,0.2,2.1,-0.99879391827307
5,0.2,2.2,-1.10476897905776
5,0.2,2.3,-1.21836753163733
5,0.2,2.4,-1.34017283236199
5,0.2,2.5,-1.4708534849803
5,0.2,2.6,-1.61117918295792
5,0.2,2.7,-1.76203998193193
5,0.2,2.8,-1.92447006010681
5,0.2,2.9,-2.09967724191533
5,0.2,3,-2.28908000113746
5,0.2,3.1,-2.49435428225449
5,0.2,3.2,-2.71749337391498
5,0.2,3.3,-2.96088538097696
5,0.2,3.4,-3.22741480987506
5,0.2,3.5,-3.52059781046942
5,0.2,3.6,-3.84476541930812
5,0.2,3.7,-4.20531704010247
5,0.2,3.8,-4.60907993936585
5,0.2,3.9,-5.06483506150663
5,0.2,4,-5.58411704624472
5,0.2,4.1,-6.18249737127057
5,0.2,4.2,-6.88180230315484
5,0.2,4.3,-7.71441153607467
5,0.2,4.4,-8.73334089662059
5,0.2,4.5,-10.0455749843366
5,0.2,4.6,-11.9989940783876
5,0.2,4.7,-12.5640773029401
5,0.2,4.8,-15.6596275320262
5,0.2,4.9,-20.4832962302595
5,0.2,5,-29.8781778697825
5,0.2,5.1,-21.9065650465231
5,0.2,5.2,-14.8102867102125
5,0.2,5.3,-10.7770119209713
5,0.2,5.4,-13.9595263268725
5,0.2,5.5,-10.423906455041
5,0.2,5.6,-7.92237918348386
5,0.2,5.7,-6.15797168609416
5,0.2,5.8,-4.81074950997077
5,0.2,5.9,-3.7482843488759
5,0.2,6,-2.90146998052856
5,0.2,6.1,-2.22679865749375
5,0.2,6.2,-1.69298343871015
5,0.2,6.3,-1.27553461173143
5,0.2,6.4,-0.954374022358929
5,0.2,6.5,-0.712709122538687
5,0.2,6.6,-0.536434620618424
5,0.2,6.7,-0.413745327257839
5,0.2,6.8,-0.334828548911908
5,0.2,6.9,-0.29158856509465
5,0.2,7,-0.27739161926907
5,0.2,7.1,-0.286832495240834
5,0.2,7.2,-0.315526105444551
5,0.2,7.3,-0.359926146459946
5,0.2,7.4,-0.417170790523238
5,0.2,7.5,-0.484953718496672
5,0.2,7.6,-0.56141781510796
5,0.2,7.7,-0.645068448416477
5,0.2,7.8,-0.734703259084261
5,0.2,7.9,-0.829355622319466
5,0.2,8,-0.928249292597266
5,0.2,8.1,-1.030762119336
5,0.2,8.2,-1.13639708585592
5,0.2,8.3,-1.24475925275238
5,0.2,8.4,-1.35553747348224
5,0.2,8.5,-1.46848999642885
5,0.2,8.6,-1.58343328122448
5,0.2,8.7,-1.70023354887064
5,0.2,8.8,-1.81880077098631
5,0.2,8.9,-1.93908500681632
5,0.2,9,-2.06107525607081
5,0.2,9.1,-2.18480138126491
5,0.2,9.2,-2.3103403026669
5,0.2,9.3,-2.4378288723419
5,0.2,9.4,-2.56748824399333
5,0.2,9.5,-2.69966974787178
5,0.2,9.6,-2.83494436854219
5,0.2,9.7,-2.97428868393554
5,0.2,9.8,-3.11950715101506
5,0.2,9.9,-3.27431019399902
5,0.2,10,-3.44750157365693
5,0.2,10.1,-3.66372321288435
5,0.2,10.2,-3.97326708323412
5,0.2,10.3,-3.8741317911391
5,0.2,10.4,-3.7776064336426
5,0.2,10.5,-3.91740639158396
5,0.2,10.6,-4.07602375700933
5,0.2,10.7,-4.23441724829274
5,0.2,10.8,-4.39203298717026
5,0.2,10.9,-4.54974692688084
5,0.2,11,-4.70831842929966
5,0.2,11.1,-4.86830951448283
5,0.2,11.2,-5.03014461673982
5,0.2,11.3,-5.19416251380575
5,0.2,11.4,-5.36065037172262
5,0.2,11.5,-5.52986522085992
