"l [mm]","t [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
5.5,0.2,2,-2.06855593760784
5.5,0.2,2.1,-2.30465611432752
5.5,0.2,2.2,-2.55972964188288
5.5,0.2,2.3,-2.8355890618228
5.5,0.2,2.4,-3.13438206060224
5.5,0.2,2.5,-3.45866840197844
5.5,0.2,2.6,-3.81151979385726
5.5,0.2,2.7,-4.19665156993306
5.5,0.2,2.8,-4.61859938811884
5.5,0.2,2.9,-5.08296108405877
5.5,0.2,3,-5.5967353158182
5.5,0.2,3.1,-6.16880841651281
5.5,0.2,3.2,-6.81067641202775
5.5,0.2,3.3,-7.53755639907914
5.5,0.2,3.4,-8.37017690361987
5.5,0.2,3.5,-9.33783170614114
5.5,0.2,3.6,-10.4839913330305
5.5,0.2,3.7,-11.8777205024667
5.5,0.2,3.8,-13.6406607204658
5.5,0.2,3.9,-16.0283420822543
5.5,0.2,4,-19.8073839201139
5.5,0.2,4.1,-21.3760198432876
5.5,0.2,4.2,-29.2750891897249
5.5,0.2,4.3,-27.5204392792033
5.5,0.2,4.4,-20.0526334584758
5.5,0.2,4.5,-15.9541007212475
5.5,0.2,4.6,-13.1322217624044
5.5,0.2,4.7,-10.9786312892375
5.5,0.2,4.8,-9.24208831904696
5.5,0.2,4.9,-7.79541705001302
5.5,0.2,5,-6.56500245384888
5.5,0.2,5.1,-5.51552773521186
5.5,0.2,5.2,-4.64986523729894
5.5,0.2,5.3,-3.84511834125686
5.5,0.2,5.4,-3.16136399363595
5.5,0.2,5.5,-2.57596919216757
5.5,0.2,5.6,-2.0771015580791
5.5,0.2,5.7,-1.65565462611231
5.5,0.2,5.8,-1.30379186829995
5.5,0.2,5.9,-1.01445942818414
5.5,0.2,6,-0.781176752380169
5.5,0.2,6.1,-0.597945075222955
5.5,0.2,6.2,-0.45921308566085
5.5,0.2,6.3,-0.359868984882644
5.5,0.2,6.4,-0.295241248671882
5.5,0.2,6.5,-0.261098019820716
5.5,0.2,6.6,-0.253640168034154
5.5,0.2,6.7,-0.269486512219725
