"l [mm]","t [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
1.5,0.2,2,-0.0327261687975722
1.5,0.2,2.1,-0.0353481607339266
1.5,0.2,2.2,-0.0380530065679524
1.5,0.2,2.3,-0.0408418817258586
1.5,0.2,2.4,-0.043715876670847
1.5,0.2,2.5,-0.0466759751504781
1.5,0.2,2.6,-0.0497230428402991
1.5,0.2,2.7,-0.0528578233470068
1.5,0.2,2.8,-0.0560809392838637
1.5,0.2,2.9,-0.0593928967234933
1.5,0.2,3,-0.0627940917912694
1.5,0.2,3.1,-0.0662848185109462
1.5,0.2,3.2,-0.0698652772745216
1.5,0.2,3.3,-0.0735355835016937
1.5,0.2,3.4,-0.0772957761950971
1.5,0.2,3.5,-0.0811458261996154
1.5,0.2,3.6,-0.0850856440472151
1.5,0.2,3.7,-0.0891150873200014
1.5,0.2,3.8,-0.0932339675002613
1.5,0.2,3.9,-0.0974420563005254
1.5,0.2,4,-0.101739091482955
1.5,0.2,4.1,-0.106124782187713
1.5,0.2,4.2,-0.110598813796351
1.5,0.2,4.3,-0.115160852359488
1.5,0.2,4.4,-0.119810548619627
1.5,0.2,4.5,-0.124547541660095
1.5,0.2,4.6,-0.129371462210213
1.5,0.2,4.7,-0.134281935635793
1.5,0.2,4.8,-0.139278584642303
1.5,0.2,4.9,-0.144361031716426
1.5,0.2,5,-0.149528901329967
1.5,0.2,5.1,-0.154781821928328
1.5,0.2,5.2,-0.160119427724017
1.5,0.2,5.3,-0.165541360314249
1.5,0.2,5.4,-0.171047270139831
1.5,0.2,5.5,-0.176636817801629
1.5,0.2,5.6,-0.182309675248933
1.5,0.2,5.7,-0.188065526853558
1.5,0.2,5.8,-0.19390407038159
1.5,0.2,5.9,-0.199825017874399
1.5,0.2,6,-0.205828096448934
1.5,0.2,6.1,-0.211913049026669
1.5,0.2,6.2,-0.21807963499969
1.5,0.2,6.3,-0.224327630841677
1.5,0.2,6.4,-0.230656830670543
1.5,0.2,6.5,-0.237067046769003
1.5,0.2,6.6,-0.243558110068764
1.5,0.2,6.7,-0.250129870603101
1.5,0.2,6.8,-0.256782197932564
1.5,0.2,6.9,-0.263514981547373
1.5,0.2,7,-0.270328131250345
1.5,0.2,7.1,-0.277221577523311
1.5,0.2,7.2,-0.284195271879947
1.5,0.2,7.3,-0.291249187207201
1.5,0.2,7.4,-0.298383318098232
1.5,0.2,7.5,-0.305597681178381
1.5,0.2,7.6,-0.312892315426751
1.5,0.2,7.7,-0.320267282495308
1.5,0.2,7.8,-0.327722667027632
1.5,0.2,7.9,-0.335258576979623
1.5,0.2,8,-0.34287514394494
1.5,0.2,8.1,-0.35057252348745
1.5,0.2,8.2,-0.358350895484574
1.5,0.2,8.3,-0.366210464484481
1.5,0.2,8.4,-0.37415146008197
1.5,0.2,8.5,-0.382174137317391
1.5,0.2,8.6,-0.39027877710448
1.5,0.2,8.7,-0.39846568669317
1.5,0.2,8.8,-0.40673520017473
1.5,0.2,8.9,-0.415087679037521
1.5,0.2,9,-0.42352351278231
1.5,0.2,9.1,-0.432043119607712
1.5,0.2,9.2,-0.440646947177177
1.5,0.2,9.3,-0.44933547348042
1.5,0.2,9.4,-0.458109207803426
1.5,0.2,9.5,-0.466968691822718
1.5,0.2,9.6,-0.475914500840859
1.5,0.2,9.7,-0.484947245182197
1.5,0.2,9.8,-0.49406757176888
1.5,0.2,9.9,-0.50327616589957
1.5,0.2,10,-0.512573753254586
1.5,0.2,10.1,-0.521961102153504
1.5,0.2,10.2,-0.531439026092871
1.5,0.2,10.3,-0.541008386594198
1.5,0.2,10.4,-0.550670096394012
1.5,0.2,10.5,-0.56042512301086
1.5,0.2,10.6,-0.570274492725731
1.5,0.2,10.7,-0.580219295015651
1.5,0.2,10.8,-0.590260687482432
1.5,0.2,10.9,-0.600399901322015
1.5,0.2,11,-0.610638247382749
1.5,0.2,11.1,-0.62097712286399
1.5,0.2,11.2,-0.631418018711423
1.5,0.2,11.3,-0.641962527767948
1.5,0.2,11.4,-0.652612353744969
1.5,0.2,11.5,-0.663369321083114
1.5,0.2,11.6,-0.674235385777274
1.5,0.2,11.7,-0.685212647247058
1.5,0.2,11.8,-0.696303361341182
1.5,0.2,11.9,-0.707509954571351
1.5,0.2,12,-0.718835039681555
1.5,0.2,12.1,-0.730281432667608
1.5,0.2,12.2,-0.74185217137449
1.5,0.2,12.3,-0.7535505358117
1.5,0.2,12.4,-0.765380070342782
1.5,0.2,12.5,-0.777344607922024
1.5,0.2,12.6,-0.789448296572416
1.5,0.2,12.7,-0.801695628321471
1.5,0.2,12.8,-0.814091470839014
1.5,0.2,12.9,-0.826641102051777
1.5,0.2,13,-0.839350248046033
1.5,0.2,13.1,-0.852225124610821
1.5,0.2,13.2,-0.865272482823414
1.5,0.2,13.3,-0.878499659134985
1.5,0.2,13.4,-0.891914630479945
1.5,0.2,13.5,-0.90552607501031
1.5,0.2,13.6,-0.919343439145402
1.5,0.2,13.7,-0.933377011733728
1.5,0.2,13.8,-0.947638006247459
1.5,0.2,13.9,-0.962138652076116
1.5,0.2,14,-0.976892296158826
1.5,0.2,14.1,-0.991913516398567
1.5,0.2,14.2,-1.00721824854407
1.5,0.2,14.3,-1.02282392851372
1.5,0.2,14.4,-1.03874965247989
1.5,0.2,14.5,-1.05501635744451
1.5,0.2,14.6,-1.07164702553187
1.5,0.2,14.7,-1.08866691582224
1.5,0.2,14.8,-1.10610382827156
1.5,0.2,14.9,-1.12398840514173
1.5,0.2,15,-1.14235447643444
