"l [mm]","t [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
4,0.3,2.5,-0.311307668340655
4,0.3,2.6,-0.337085434664682
4,0.3,2.7,-0.364175527371253
4,0.3,2.8,-0.392626719538126
4,0.3,2.9,-0.422492422795694
4,0.3,3,-0.453831189493551
4,0.3,3.1,-0.486707271476384
4,0.3,3.2,-0.521191244958793
4,0.3,3.3,-0.557360712314017
4,0.3,3.4,-0.595301093249409
4,0.3,3.5,-0.635106519881466
4,0.3,3.6,-0.67688085271402
4,0.3,3.7,-0.720738837553601
4,0.3,3.8,-0.766807427082069
4,0.3,3.9,-0.815227295294902
4,0.3,4,-0.866154578492514
4,0.3,4.1,-0.919762883220272
4,0.3,4.2,-0.976245609797373
4,0.3,4.3,-1.03581865024781
4,0.3,4.4,-1.09872353205602
4,0.3,4.5,-1.16523109487281
4,0.3,4.6,-1.23564580695279
4,0.3,4.7,-1.31031085283964
4,0.3,4.8,-1.38961415512174
4,0.3,4.9,-1.47399553294447
4,0.3,5,-1.56395525105494
4,0.3,5.1,-1.6600642790848
4,0.3,5.2,-1.76297666648755
4,0.3,5.3,-1.87344455086404
4,0.3,5.4,-1.99233646585811
4,0.3,5.5,-2.12065981284117
4,0.3,5.6,-2.25958862748835
4,0.3,5.7,-2.41049813602906
4,0.3,5.8,-2.57500809764236
4,0.3,5.9,-2.75503763096742
4,0.3,6,-2.95287521849578
4,0.3,6.1,-3.17126902020003
4,0.3,6.2,-3.4135447428241
4,0.3,6.3,-3.68376149027163
4,0.3,6.4,-3.98692091558486
4,0.3,6.5,-4.3292527420498
4,0.3,6.6,-4.71861237023075
4,0.3,6.7,-5.16504768949637
4,0.3,6.8,-5.68162992808459
4,0.3,6.9,-6.28571302809974
4,0.3,7,-7.00092184669138
4,0.3,7.1,-7.86045174481711
4,0.3,7.2,-8.91289507924846
4,0.3,7.3,-10.2333668939908
4,0.3,7.4,-11.9469945155509
4,0.3,7.5,-14.2854536987158
4,0.3,7.6,-17.7469410997977
4,0.3,7.7,-23.5197027879007
4,0.3,7.8,-26.4305989261976
4,0.3,7.9,-19.1572143939434
4,0.3,8,-14.5108706643363
4,0.3,8.1,-11.3944489248395
4,0.3,8.2,-9.10104676892214
4,0.3,8.3,-7.32729879612433
4,0.3,8.4,-5.91875896898074
4,0.3,8.5,-4.78490681052937
4,0.3,8.6,-3.8664023643409
4,0.3,8.7,-3.12079081248633
4,0.3,8.8,-2.51572179539747
4,0.3,8.9,-2.02553227999881
4,0.3,9,-1.6294098425185
4,0.3,9.1,-1.31031150941576
4,0.3,9.2,-1.05424758337967
4,0.3,9.3,-0.849748928462336
4,0.3,9.4,-0.68743716184345
4,0.3,9.5,-0.559663796365802
4,0.3,9.6,-0.460204023233615
4,0.3,9.7,-0.383997957886894
4,0.3,9.8,-0.32693413950574
4,0.3,9.9,-0.285670324051827
4,0.3,10,-0.257486563773687
4,0.3,10.1,-0.240165682335746
4,0.3,10.2,-0.231896594344683
4,0.3,10.3,-0.231196410861754
4,0.3,10.4,-0.236847830864082
4,0.3,10.5,-0.247848875204915
4,0.3,10.6,-0.263372533342659
4,0.3,10.7,-0.282734344164627
4,0.3,10.8,-0.305366315076378
4,0.3,10.9,-0.3307959009146
4,0.3,11,-0.358629023041796
4,0.3,11.1,-0.388536317573481
4,0.3,11.2,-0.420241968465781
4,0.3,11.3,-0.45351461381642
4,0.3,11.4,-0.488159918839623
4,0.3,11.5,-0.524014492115392
4,0.3,11.6,-0.560940887427751
4,0.3,11.7,-0.598823485454827
4,0.3,11.8,-0.637565090672596
4,0.3,11.9,-0.677084111395795
4,0.3,12,-0.717312216720241
4,0.3,12.1,-0.758192384683871
4,0.3,12.2,-0.799677272346417
4,0.3,12.3,-0.841727851580942
4,0.3,12.4,-0.884312264861247
4,0.3,12.5,-0.927404863758776
4,0.3,12.6,-0.970985399654248
4,0.3,12.7,-1.01503834165773
4,0.3,12.8,-1.0595523011785
4,0.3,12.9,-1.10451954620054
4,0.3,13,-1.14993559126655
4,0.3,13.1,-1.19579885158213
4,0.3,13.2,-1.24211035162697
4,0.3,13.3,-1.28887348028443
4,0.3,13.4,-1.33609378584097
4,0.3,13.5,-1.38377880531553
4,0.3,13.6,-1.43193792349928
4,0.3,13.7,-1.48058225785264
4,0.3,13.8,-1.52972456604703
4,0.3,13.9,-1.57937917347592
4,0.3,14,-1.62956191851237
4,0.3,14.1,-1.68029011367306
4,0.3,14.2,-1.73158252117423
4,0.3,14.3,-1.7834593416437
4,0.3,14.4,-1.83594221499246
4,0.3,14.5,-1.88905423265814
4,0.3,14.6,-1.94281996061399
4,0.3,14.7,-1.99726547269992
4,0.3,14.8,-2.05241839397523
4,0.3,14.9,-2.10830795392601
4,0.3,15,-2.16496504948075
4,0.3,15.1,-2.22242231790263
4,0.3,15.2,-2.2807142197366
4,0.3,15.3,-2.33987713209724
4,0.3,15.4,-2.39994945268816
4,0.3,15.5,-2.46097171505473
4,0.3,15.6,-2.52298671568113
4,0.3,15.7,-2.58603965366205
4,0.3,15.8,-2.65017828380234
4,0.3,15.9,-2.71545308413454
4,0.3,16,-2.78191743898792
4,0.4,2,-0.19477330501607
4,0.4,2.1,-0.215016321463635
4,0.4,2.2,-0.236349170171542
4,0.4,2.3,-0.258792043976684
4,0.4,2.4,-0.282367425834047
4,0.4,2.5,-0.307100297509066
4,0.4,2.6,-0.333018365836656
4,0.4,2.7,-0.360152308595179
4,0.4,2.8,-0.388536042385067
4,0.4,2.9,-0.418207015295089
4,0.4,3,-0.449206527592727
4,0.4,3.1,-0.481580084199736
4,0.4,3.2,-0.515377783321802
4,0.4,3.3,-0.550654746307948
4,0.4,3.4,-0.58747159463956
4,0.4,3.5,-0.625894980912388
4,0.4,3.6,-0.665998181806641
4,0.4,3.7,-0.707861762371799
4,0.4,3.8,-0.751574322527787
4,0.4,3.9,-0.797233338551302
4,0.4,4,-0.844946114540362
4,0.4,4.1,-0.894830861508142
4,0.4,4.2,-0.947017924948228
4,0.4,4.3,-1.0016511855588
4,0.4,4.4,-1.05888966246799
4,0.4,4.5,-1.11890935396224
4,0.4,4.6,-1.18190535763226
4,0.4,4.7,-1.24809432033548
4,0.4,4.8,-1.31771727883903
4,0.4,4.9,-1.39104296498215
4,0.4,5,-1.46837166536802
4,0.4,5.1,-1.55003974586022
4,0.4,5.2,-1.63642497668933
4,0.4,5.3,-1.72795282631214
4,0.4,5.4,-1.82510393332032
4,0.4,5.5,-1.92842301829484
4,0.4,5.6,-2.03852956492579
4,0.4,5.7,-2.15613068622372
4,0.4,5.8,-2.28203670240583
4,0.4,5.9,-2.41718009791273
4,0.4,6,-2.56263870190613
4,0.4,6.1,-2.71966415420695
4,0.4,6.2,-2.88971697906524
4,0.4,6.3,-3.07450989338506
4,0.4,6.4,-3.27606133797944
4,0.4,6.5,-3.49676171793025
4,0.4,6.6,-3.7394557423049
4,0.4,6.7,-4.0075462580182
4,0.4,6.8,-4.3051293751337
4,0.4,6.9,-4.6371789780834
4,0.4,7,-5.00981101792044
4,0.4,7.1,-5.43067156926515
4,0.4,7.2,-5.90950559725755
4,0.4,7.3,-6.45898533073398
4,0.4,7.4,-7.09593600775363
4,0.4,7.5,-7.84323383748452
4,0.4,7.6,-8.73293309668027
4,0.4,7.7,-9.8117808222315
4,0.4,7.8,-11.1517184246302
4,0.4,7.9,-12.8718800486922
4,0.4,8,-15.1907202292587
4,0.4,8.1,-18.5692357846964
4,0.4,8.2,-24.0700791672245
4,0.4,8.3,-27.6083823621276
4,0.4,8.4,-20.6094013365241
4,0.4,8.5,-15.8716611563855
4,0.4,8.6,-12.6818414395561
4,0.4,8.7,-10.3197618805283
4,0.4,8.8,-8.47350516757739
4,0.4,8.9,-6.98595680360252
4,0.4,9,-5.76695818158899
4,0.4,9.1,-4.75908644818194
4,0.4,9.2,-3.92246681164456
4,0.4,9.3,-3.22738805705506
4,0.4,9.4,-2.65049559707468
4,0.4,9.5,-2.17274967269235
4,0.4,9.6,-1.77828724479769
4,0.4,9.7,-1.45374990847622
4,0.4,9.8,-1.18784965221563
4,0.4,9.9,-0.971055014743255
4,0.4,10,-0.795339920184665
4,0.4,10.1,-0.653968916684302
4,0.4,10.2,-0.541308063778673
4,0.4,10.3,-0.452657561464687
4,0.4,10.4,-0.384104669928584
4,0.4,10.5,-0.332395951843066
4,0.4,10.6,-0.294827642925297
4,0.4,10.7,-0.269152609499671
4,0.4,10.8,-0.253502108868165
4,0.4,10.9,-0.246320478572392
4,0.4,11,-0.246310921682116
4,0.4,11.1,-0.252390684642894
4,0.4,11.2,-0.263654101891477
4,0.4,11.3,-0.279342177025883
4,0.4,11.4,-0.298817563701165
4,0.4,11.5,-0.321543988897716
4,0.4,11.6,-0.347069321058724
4,0.4,11.7,-0.375011623996575
4,0.4,11.8,-0.405047654934508
4,0.4,11.9,-0.436903363326106
4,0.4,12,-0.470346028467428
4,0.4,12.1,-0.50517774079309
4,0.4,12.2,-0.541229986418739
4,0.4,12.3,-0.578359139028928
4,0.4,12.4,-0.616442699400021
4,0.4,12.5,-0.655376152221033
4,0.4,12.6,-0.695070333701367
