"l [mm]","t [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
3,0.2,2,-0.0720310447586247
3,0.2,2.1,-0.0791200333375196
3,0.2,2.2,-0.086530192296281
3,0.2,2.3,-0.0942617365855075
3,0.2,2.4,-0.102315528190638
3,0.2,2.5,-0.110693110550534
3,0.2,2.6,-0.119396739154159
3,0.2,2.7,-0.128429408778719
3,0.2,2.8,-0.137794877919829
3,0.2,2.9,-0.147497691040105
3,0.2,3,-0.157543199327309
3,0.2,3.1,-0.16793758070839
3,0.2,3.2,-0.178687859912955
3,0.2,3.3,-0.189801929420665
3,0.2,3.4,-0.201288572163666
3,0.2,3.5,-0.213157486889567
3,0.2,3.6,-0.225419317125117
3,0.2,3.7,-0.238085684717269
3,0.2,3.8,-0.251169228970149
3,0.2,3.9,-0.264683652445072
3,0.2,4,-0.278643774549796
3,0.2,4.1,-0.293065594115104
3,0.2,4.2,-0.307966362244646
3,0.2,4.3,-0.323364666832177
3,0.2,4.4,-0.33928053027164
3,0.2,4.5,-0.355735522045911
3,0.2,4.6,-0.372752888073961
3,0.2,4.7,-0.390357698930542
3,0.2,4.8,-0.408577019334442
3,0.2,4.9,-0.427440101640614
3,0.2,5,-0.446978606477991
3,0.2,5.1,-0.467226854162736
3,0.2,5.2,-0.488222111101702
3,0.2,5.3,-0.510004916103233
3,0.2,5.4,-0.532619452355299
3,0.2,5.5,-0.556113971846985
3,0.2,5.6,-0.580541280232844
3,0.2,5.7,-0.605959291619875
3,0.2,5.8,-0.632431664551094
3,0.2,5.9,-0.660028532641562
3,0.2,6,-0.688827345985265
3,0.2,6.1,-0.718913842712911
3,0.2,6.2,-0.750383174090639
3,0.2,6.3,-0.783341211501658
3,0.2,6.4,-0.817906069795765
3,0.2,6.5,-0.854209889144947
3,0.2,6.6,-0.892400927129578
3,0.2,6.7,-0.932646024844935
3,0.2,6.8,-0.975133526089553
3,0.2,6.9,-1.02007674813476
3,0.2,7,-1.06771812746527
3,0.2,7.1,-1.11833419595373
3,0.2,7.2,-1.17224158453371
3,0.2,7.3,-1.22980430577405
3,0.2,7.4,-1.29144263825307
