"l [mm]","t [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
2.5,0.2,2,-0.0490802439441231
2.5,0.2,2.1,-0.0538467461816102
2.5,0.2,2.2,-0.0588162870107687
2.5,0.2,2.3,-0.0639864432088894
2.5,0.2,2.4,-0.0693550210253794
2.5,0.2,2.5,-0.0749200829028438
2.5,0.2,2.6,-0.0806799721583589
2.5,0.2,2.7,-0.0866333354992721
2.5,0.2,2.8,-0.0927791432830319
2.5,0.2,2.9,-0.0991167074665878
2.5,0.2,3,-0.105645697226851
2.5,0.2,3.1,-0.112366152269499
2.5,0.2,3.2,-0.11927849387879
2.5,0.2,3.3,-0.126383533795121
2.5,0.2,3.4,-0.133682481040748
2.5,0.2,3.5,-0.141176946845475
2.5,0.2,3.6,-0.148868947855011
2.5,0.2,3.7,-0.156760907833006
2.5,0.2,3.8,-0.164855658094937
2.5,0.2,3.9,-0.173156436937227
2.5,0.2,4,-0.1816668883481
2.5,0.2,4.1,-0.190391060308507
2.5,0.2,4.2,-0.199333403011179
2.5,0.2,4.3,-0.208498767344262
2.5,0.2,4.4,-0.217892404002854
2.5,0.2,4.5,-0.227519963607648
2.5,0.2,4.6,-0.237387498224613
2.5,0.2,4.7,-0.24750146469418
2.5,0.2,4.8,-0.25786873019241
2.5,0.2,4.9,-0.268496580461253
2.5,0.2,5,-0.279392731160335
2.5,0.2,5.1,-0.290565342809313
2.5,0.2,5.2,-0.302023039809316
2.5,0.2,5.3,-0.313774934053403
2.5,0.2,5.4,-0.325830653662345
2.5,0.2,5.5,-0.338200377412733
2.5,0.2,5.6,-0.350894875461666
2.5,0.2,5.7,-0.36392555701732
2.5,0.2,5.8,-0.377304525658549
2.5,0.2,5.9,-0.391044643072719
2.5,0.2,6,-0.405159602059475
2.5,0.2,6.1,-0.419664009743727
2.5,0.2,6.2,-0.43457348205538
2.5,0.2,6.3,-0.449904750670741
2.5,0.2,6.4,-0.465675783775223
2.5,0.2,6.5,-0.481905922203857
2.5,0.2,6.6,-0.498616032752325
2.5,0.2,6.7,-0.51582868073232
2.5,0.2,6.8,-0.533568324183414
2.5,0.2,6.9,-0.551861532555706
2.5,0.2,7,-0.570737233162175
2.5,0.2,7.1,-0.590226989277966
