"l [mm]","t [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
3.5,0.2,2,-0.117351587779282
3.5,0.2,2.1,-0.128556227401592
3.5,0.2,2.2,-0.140326686895122
3.5,0.2,2.3,-0.152677476223715
3.5,0.2,2.4,-0.165623986063073
3.5,0.2,2.5,-0.179182587593113
3.5,0.2,2.6,-0.193370754006453
3.5,0.2,2.7,-0.208207197148693
3.5,0.2,2.8,-0.223712016497356
3.5,0.2,2.9,-0.239906860003208
3.5,0.2,3,-0.256815097720713
3.5,0.2,3.1,-0.27446201002853
3.5,0.2,3.2,-0.292874992834283
3.5,0.2,3.3,-0.312083782623958
3.5,0.2,3.4,-0.332120704650986
3.5,0.2,3.5,-0.353020948022504
3.5,0.2,3.6,-0.374822871971115
3.5,0.2,3.7,-0.397568348229725
3.5,0.2,3.8,-0.421303145182582
3.5,0.2,3.9,-0.446077360375296
3.5,0.2,4,-0.471945909063265
3.5,0.2,4.1,-0.498969077799901
3.5,0.2,4.2,-0.527213153662498
3.5,0.2,4.3,-0.556751141643457
3.5,0.2,4.4,-0.587663585074627
3.5,0.2,4.5,-0.620039506797044
3.5,0.2,4.6,-0.653977492258621
3.5,0.2,4.7,-0.689586939971364
3.5,0.2,4.8,-0.726989509982872
3.5,0.2,4.9,-0.766320807465802
3.5,0.2,5,-0.807732346525554
3.5,0.2,5.1,-0.851393849290667
3.5,0.2,5.2,-0.897495947826642
3.5,0.2,5.3,-0.946253372117217
3.5,0.2,5.4,-0.997908727229577
3.5,0.2,5.5,-1.0527369880721
3.5,0.2,5.6,-1.11105087253688
3.5,0.2,5.7,-1.17320729554294
3.5,0.2,5.8,-1.23961516061415
3.5,0.2,5.9,-1.31074481631056
3.5,0.2,6,-1.38713959784569
3.5,0.2,6.1,-1.46942999758396
3.5,0.2,6.2,-1.55835117310676
3.5,0.2,6.3,-1.6547647242006
3.5,0.2,6.4,-1.7596859735303
3.5,0.2,6.5,-1.87431840352265
3.5,0.2,6.6,-2.00009748374808
