"l [mm]","t [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
4.5,0.2,2,-0.354081551347753
4.5,0.2,2.1,-0.392238300217254
4.5,0.2,2.2,-0.432765487829703
4.5,0.2,2.3,-0.47576959733369
4.5,0.2,2.4,-0.521371846470417
4.5,0.2,2.5,-0.569710349581114
4.5,0.2,2.6,-0.620942653806089
4.5,0.2,2.7,-0.675248714282992
4.5,0.2,2.8,-0.732834378029369
4.5,0.2,2.9,-0.793935447653645
4.5,0.2,3,-0.858822392419165
4.5,0.2,3.1,-0.927805764248732
4.5,0.2,3.2,-1.00124236027291
4.5,0.2,3.3,-1.07954215498517
4.5,0.2,3.4,-1.16317601287751
4.5,0.2,3.5,-1.25268420291635
4.5,0.2,3.6,-1.34868579354771
4.5,0.2,3.7,-1.45188913999489
4.5,0.2,3.8,-1.56310390991451
4.5,0.2,3.9,-1.68325543871437
4.5,0.2,4,-1.81340264454848
4.5,0.2,4.1,-1.95476121953497
4.5,0.2,4.2,-2.10873429258116
4.5,0.2,4.3,-2.27695320328989
4.5,0.2,4.4,-2.46133148217762
4.5,0.2,4.5,-2.66413574988021
4.5,0.2,4.6,-2.88807828311283
4.5,0.2,4.7,-3.13643779679732
4.5,0.2,4.8,-3.41321801312781
4.5,0.2,4.9,-3.72335847596392
4.5,0.2,5,-4.07301989042275
4.5,0.2,5.1,-4.46997897303344
4.5,0.2,5.2,-4.92418913497269
4.5,0.2,5.3,-5.44860075741004
4.5,0.2,5.4,-6.0604038899942
4.5,0.2,5.5,-6.78299108386195
4.5,0.2,5.6,-7.64921928902485
4.5,0.2,5.7,-8.70718367625234
4.5,0.2,5.8,-10.0312891839284
4.5,0.2,5.9,-11.7458133701394
4.5,0.2,6,-14.0826300866466
4.5,0.2,6.1,-17.5530809205741
4.5,0.2,6.2,-23.5643557685546
4.5,0.2,6.3,-28.0244403826658
4.5,0.2,6.4,-19.6263115308145
4.5,0.2,6.5,-14.7270160957991
4.5,0.2,6.6,-11.5242223866959
4.5,0.2,6.7,-9.18892699728315
4.5,0.2,6.8,-7.38956124682376
4.5,0.2,6.9,-5.96235795833198
4.5,0.2,7,-4.81315261094275
4.5,0.2,7.1,-3.88114091712615
4.5,0.2,7.2,-3.12335547931486
4.5,0.2,7.3,-2.50735535575053
4.5,0.2,7.4,-2.00755029269179
4.5,0.2,7.5,-1.60323455122852
4.5,0.2,7.6,-1.27744641091207
4.5,0.2,7.7,-1.01623178225404
4.5,0.2,7.8,-0.808111700136506
4.5,0.2,7.9,-0.643661676208699
4.5,0.2,8,-0.515162385610193
4.5,0.2,8.1,-0.416304081628257
4.5,0.2,8.2,-0.341936272336263
4.5,0.2,8.3,-0.287857252016309
4.5,0.2,8.4,-0.250638829937767
4.5,0.2,8.5,-0.227481714034249
4.5,0.2,8.6,-0.216097116426425
4.5,0.2,8.7,-0.214610412188118
4.5,0.2,8.8,-0.221483084764027
4.5,0.2,8.9,-0.235449667131032
4.5,0.2,9,-0.255466877899285
4.5,0.2,9.1,-0.28067261557445
4.5,0.2,9.2,-0.310352889920659
4.5,0.2,9.3,-0.343915128041344
4.5,0.2,9.4,-0.380866594209676
4.5,0.2,9.5,-0.420796911089746
4.5,0.2,9.6,-0.463363872340312
4.5,0.2,9.7,-0.508281899756938
4.5,0.2,9.8,-0.555312628826423
4.5,0.2,9.9,-0.604257210842488
4.5,0.2,10,-0.654950002694617
4.5,0.2,10.1,-0.707253381358811
4.5,0.2,10.2,-0.761053472473851
4.5,0.2,10.3,-0.816256623985514
4.5,0.2,10.4,-0.872786488929455
4.5,0.2,10.5,-0.930581607779599
4.5,0.2,10.6,-0.989593401823476
4.5,0.2,10.7,-1.04978450585019
4.5,0.2,10.8,-1.11112738192423
4.5,0.2,10.9,-1.17360316686315
4.5,0.2,11,-1.23720071477732
4.5,0.2,11.1,-1.30191580309893
4.5,0.2,11.2,-1.36775047626097
4.5,0.2,11.3,-1.43471250585299
4.5,0.2,11.4,-1.50281494989264
4.5,0.2,11.5,-1.57207579697756
4.5,0.2,11.6,-1.64251768365611
4.5,0.2,11.7,-1.71416767548526
4.5,0.2,11.8,-1.78705710401558
4.5,0.2,11.9,-1.86122145342515
4.5,0.2,12,-1.93670029177418
4.5,0.2,12.1,-2.0135372429137
4.5,0.2,12.2,-2.09177999599292
4.5,0.2,12.3,-2.17148035030153
4.5,0.2,12.4,-2.25269429388
