"l [mm]","t [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
5.8,0.2,2,-4.79334527464228
5.8,0.2,2.1,-5.34817365915438
5.8,0.2,2.2,-5.95462851068614
5.8,0.2,2.3,-6.62066954025134
5.8,0.2,2.4,-7.35659330280385
5.8,0.2,2.5,-8.17598304110681
5.8,0.2,2.6,-9.0971923545549
5.8,0.2,2.7,-10.1457725543441
5.8,0.2,2.8,-11.3586769253435
5.8,0.2,2.9,-12.7920809247887
5.8,0.2,3,-14.5373376278359
5.8,0.2,3.1,-16.7579050747953
5.8,0.2,3.2,-19.7921005495833
5.8,0.2,3.3,-24.5388964914344
5.8,0.2,3.4,-34.8036912838854
5.8,0.2,3.5,-29.6425334906841
5.8,0.2,3.6,-22.2719050332805
5.8,0.2,3.7,-18.2428838160941
5.8,0.2,3.8,-15.4695853532015
5.8,0.2,3.9,-13.353453726175
5.8,0.2,4,-11.6430835411651
5.8,0.2,4.1,-10.2096022886171
5.8,0.2,4.2,-8.97841579078997
5.8,0.2,4.3,-7.90267968613107
5.8,0.2,4.4,-6.95121255332734
5.8,0.2,4.5,-6.10232761452037
5.8,0.2,4.6,-5.34038946982482
5.8,0.2,4.7,-4.65371504251738
5.8,0.2,4.8,-4.03311721276856
5.8,0.2,4.9,-3.47120394286812
5.8,0.2,5,-3.02690728642483
5.8,0.2,5.1,-2.58385210311627
5.8,0.2,5.2,-2.15700115280708
5.8,0.2,5.3,-1.79334905898791
5.8,0.2,5.4,-1.47653282668634
5.8,0.2,5.5,-1.20171060227295
5.8,0.2,5.6,-0.965972151403873
5.8,0.2,5.7,-0.766966354214878
5.8,0.2,5.8,-0.602556908871257
5.8,0.2,5.9,-0.470704008726174
5.8,0.2,6,-0.369418682896628
5.8,0.2,6.1,-0.296747796109665
5.8,0.2,6.2,-0.250774299995192
5.8,0.2,6.3,-0.22962543156854
5.8,0.2,6.4,-0.231484654912846
5.8,0.2,6.5,-0.25460465904973
5.8,0.2,6.6,-0.297319658300279
5.8,0.2,6.7,-0.358055907412903
5.8,0.2,6.8,-0.435339846323555
5.8,0.2,6.9,-0.527803665738046
5.8,0.2,7,-0.634188353428944
5.8,0.2,7.1,-0.75334445794666
5.8,0.2,7.2,-0.884230907970013
5.8,0.2,7.3,-1.02591226889818
5.8,0.2,7.4,-1.17755481984202
5.8,0.2,7.5,-1.33842180823335
5.8,0.2,7.6,-1.50786819747981
5.8,0.2,7.7,-1.6853351742757
