"l [mm]","t [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
2,0.2,2,-0.0336113373901301
2,0.2,2.1,-0.0368765157910796
2,0.2,2.2,-0.0402814929568703
2,0.2,2.3,-0.0438239926842374
2,0.2,2.4,-0.0475017399627861
2,0.2,2.5,-0.0513124723900052
2,0.2,2.6,-0.0552539514701991
2,0.2,2.7,-0.0593239737397305
2,0.2,2.8,-0.0635203816626269
2,0.2,2.9,-0.0678410742431175
2,0.2,3,-0.0722840173039173
2,0.2,3.1,-0.0768472533822267
2,0.2,3.2,-0.0815289111983992
2,0.2,3.3,-0.0863272146557508
2,0.2,3.4,-0.0912404913338303
2,0.2,3.5,-0.0962671804411714
2,0.2,3.6,-0.101405840197987
2,0.2,3.7,-0.106655154623457
2,0.2,3.8,-0.112013939706806
2,0.2,3.9,-0.117481148946072
2,0.2,4,-0.123055878243098
2,0.2,4.1,-0.128737370148309
2,0.2,4.2,-0.134525017453538
2,0.2,4.3,-0.140418366136091
2,0.2,4.4,-0.14641711766236
2,0.2,4.5,-0.15252113066383
2,0.2,4.6,-0.15873042200359
2,0.2,4.7,-0.16504516725566
2,0.2,4.8,-0.171465700624841
2,0.2,4.9,-0.17799251433849
2,0.2,5,-0.184626257546858
2,0.2,5.1,-0.191367734772241
2,0.2,5.2,-0.1982179039517
2,0.2,5.3,-0.205177874121723
2,0.2,5.4,-0.212248902797143
2,0.2,5.5,-0.219432393100059
2,0.2,5.6,-0.226729890697612
2,0.2,5.7,-0.234143080611029
2,0.2,5.8,-0.241673783960743
2,0.2,5.9,-0.249323954715455
2,0.2,6,-0.257095676515278
2,0.2,6.1,-0.264991159641682
2,0.2,6.2,-0.273012738208785
2,0.2,6.3,-0.281162867652925
2,0.2,6.4,-0.289444122599231
2,0.2,6.5,-0.297859195185617
2,0.2,6.6,-0.306410893926567
2,0.2,6.7,-0.31510214320115
2,0.2,6.8,-0.32393598345105
2,0.2,6.9,-0.332915572176698
2,0.2,7,-0.342044185822036
2,0.2,7.1,-0.351325222640143
2,0.2,7.2,-0.360762206635678
2,0.2,7.3,-0.370358792682431
2,0.2,7.4,-0.380118772918775
2,0.2,7.5,-0.390046084527783
2,0.2,7.6,-0.40014481901427
2,0.2,7.7,-0.410419233097166
2,0.2,7.8,-0.420873761343121
2,0.2,7.9,-0.431513030675618
2,0.2,8,-0.442341876904674
2,0.2,8.1,-0.453365363433659
2,0.2,8.2,-0.464588802314565
2,0.2,8.3,-0.476017777839251
2,0.2,8.4,-0.487658172873891
2,0.2,8.5,-0.49951619816654
2,0.2,8.6,-0.511598424884293
2,0.2,8.7,-0.523911820667355
2,0.2,8.8,-0.536463789523534
2,0.2,8.9,-0.54926221592835
2,0.2,9,-0.562315513544773
2,0.2,9.1,-0.575632679033627
2,0.2,9.2,-0.589223351491095
2,0.2,9.3,-0.603097878127504
2,0.2,9.4,-0.617267386890391
2,0.2,9.5,-0.631743866840348
2,0.2,9.6,-0.646540257209716
2,0.2,9.7,-0.661670546217942
2,0.2,9.8,-0.677149880885045
2,0.2,9.9,-0.692994689282093
2,0.2,10,-0.709222816890082
2,0.2,10.1,-0.725853679012658
2,0.2,10.2,-0.742908431513461
2,0.2,10.3,-0.760410162533754
2,0.2,10.4,-0.778384108305277
2,0.2,10.5,-0.796857896720946
2,0.2,10.6,-0.815861822982366
2,0.2,10.7,-0.835429162432155
2,0.2,10.8,-0.855596526630586
2,0.2,10.9,-0.876404269888499
2,0.2,11,-0.897896954868917
2,0.2,11.1,-0.920123887579287
2,0.2,11.2,-0.943139734171301
2,0.2,11.3,-0.967005234544317
2,0.2,11.4,-0.991788030938503
2,0.2,11.5,-1.0175636336668
2,0.2,11.6,-1.04441655108625
2,0.2,11.7,-1.07244161712363
2,0.2,11.8,-1.10174555751676
2,0.2,11.9,-1.13244884589424
2,0.2,12,-1.16468791353973
2,0.2,12.1,-1.1986177930417
2,0.2,12.2,-1.2344152971891
2,0.2,12.3,-1.27228286204308
2,0.2,12.4,-1.31245321929751
2,0.2,12.5,-1.35519511089601
2,0.2,12.6,-1.40082032267986
2,0.2,12.7,-1.44969239965242
2,0.2,12.8,-1.50223752189761
2,0.2,12.9,-1.55895817975275
2,0.2,13,-1.62045050770516
2,0.2,13.1,-1.68742644554396
2,0.2,13.2,-1.76074233277953
2,0.2,13.3,-1.84143616926452
2,0.2,13.4,-1.93077668521987
2,0.2,13.5,-2.03032870427946
2,0.2,13.6,-2.14204128701379
2,0.2,13.7,-2.26836818716252
2,0.2,13.8,-2.41243486120673
2,0.2,13.9,-2.57827369294065
2,0.2,14,-2.77116103627331
2,0.2,14.1,-2.99810933625322
2,0.2,14.2,-3.26860076184759
2,0.2,14.3,-3.59570632871628
2,0.2,14.4,-3.99783736559573
2,0.2,14.5,-4.50156610824513
2,0.2,14.6,-5.14631384516935
2,0.2,14.7,-5.99240476605998
2,0.2,14.8,-7.13526084222202
2,0.2,14.9,-8.72973535192498
2,0.2,15,-11.0159360830789
2,0.2,15.1,-14.1301853929935
2,0.2,15.2,-15.9042183349659
2,0.2,15.3,-12.7397321375656
2,0.2,15.4,-8.9765673099293
2,0.2,15.5,-6.24403995960914
2,0.2,15.6,-4.36267120574047
2,0.2,15.7,-3.07726777125294
2,0.2,15.8,-2.20372246693429
2,0.2,15.9,-1.61310235091281
2,0.2,16,-1.21374153182802
2,0.3,2,-0.0340107745464017
2,0.3,2.1,-0.0373134812888227
2,0.3,2.2,-0.040757204205191
2,0.3,2.3,-0.0443395815109127
2,0.3,2.4,-0.0480582486204491
2,0.3,2.5,-0.0519108494244517
2,0.3,2.6,-0.0558950474209416
2,0.3,2.7,-0.0600085366415426
2,0.3,2.8,-0.0642490523156311
2,0.3,2.9,-0.0686143812178905
2,0.3,3,-0.0731023716473817
2,0.3,3.1,-0.0777109429893865
2,0.3,3.2,-0.0824380948146454
2,0.3,3.3,-0.0872819154742486
2,0.3,3.4,-0.0922405901524277
2,0.3,3.5,-0.0973124083433969
2,0.3,3.6,-0.102495770723043
2,0.3,3.7,-0.107789195390357
2,0.3,3.8,-0.113191323458396
2,0.3,3.9,-0.118700923979112
2,0.3,4,-0.124316898191164
2,0.3,4.1,-0.130038283084711
2,0.3,4.2,-0.135864254281918
2,0.3,4.3,-0.141794128236708
2,0.3,4.4,-0.147827363762116
2,0.3,4.5,-0.153963562898107
2,0.3,4.6,-0.160202471137411
2,0.3,4.7,-0.166543977031249
2,0.3,4.8,-0.172988111201113
2,0.3,4.9,-0.179535044786762
2,0.3,5,-0.186185087364595
2,0.3,5.1,-0.192938684373953
2,0.3,5.2,-0.199796414092475
2,0.3,5.3,-0.206758984204704
2,0.3,5.4,-0.213827228010906
2,0.3,5.5,-0.221002100325603
2,0.3,5.6,-0.228284673117743
2,0.3,5.7,-0.235676130946075
2,0.3,5.8,-0.243177766245228
2,0.3,5.9,-0.250790974519218
2,0.3,6,-0.258517249499824
2,0.3,6.1,-0.26635817832878
2,0.3,6.2,-0.274315436822114
2,0.3,6.3,-0.282390784875984
2,0.3,6.4,-0.290586062072887
2,0.3,6.5,-0.298903183546672
2,0.3,6.6,-0.307344136164364
2,0.3,6.7,-0.315910975082119
2,0.3,6.8,-0.324605820731252
2,0.3,6.9,-0.333430856289653
2,0.3,7,-0.342388325692435
2,0.3,7.1,-0.351480532234232
